Dataset,Config,Loss,NFE,Forward_Time,Backward_Time,Method,RTOL,ATOL
moons,euler,0.231687566688561,9,0.03746485710144043,0.03385162353515625,euler,,
moons,rk4,0.24314657558322023,36,0.12038516998291016,0.12405586242675781,rk4,,
moons,dopri5_rtol0.001_atol0.0001,0.2582071661525801,74,0.05074334144592285,0.0377659797668457,dopri5,0.001,0.0001
moons,dopri5_rtol0.0001_atol1e-05,0.2278706468729165,98,0.06284666061401367,0.05629992485046387,dopri5,0.0001,1e-05
moons,dopri5_rtol1e-05_atol1e-06,0.256175176303581,176,0.09395933151245117,0.08192133903503418,dopri5,1e-05,1e-06
circles,euler,0.23361890131620755,9,0.03466463088989258,0.03420209884643555,euler,,
circles,rk4,0.26313294934136583,36,0.12526559829711914,0.1287980079650879,rk4,,
circles,dopri5_rtol0.001_atol0.0001,0.26543533488270554,50,0.03584146499633789,0.043605804443359375,dopri5,0.001,0.0001
circles,dopri5_rtol0.0001_atol1e-05,0.28589997459060706,98,0.06294012069702148,0.05648016929626465,dopri5,0.0001,1e-05
circles,dopri5_rtol1e-05_atol1e-06,0.2664405091681874,140,0.09337306022644043,0.09194660186767578,dopri5,1e-05,1e-06
spirals,euler,0.19032571670737494,9,0.0345609188079834,0.036176443099975586,euler,,
spirals,rk4,0.203198866321551,36,0.12840533256530762,0.13366198539733887,rk4,,
spirals,dopri5_rtol0.001_atol0.0001,0.19808915724476034,62,0.03888201713562012,0.04502248764038086,dopri5,0.001,0.0001
spirals,dopri5_rtol0.0001_atol1e-05,0.2004891016288839,116,0.07378554344177246,0.06164836883544922,dopri5,0.0001,1e-05
spirals,dopri5_rtol1e-05_atol1e-06,0.18957486464348522,152,0.09666109085083008,0.09044408798217773,dopri5,1e-05,1e-06
